sample	total_markers	markers_hit	frac_markers_hit	mean_marker_count
T1056A_Q2_Q3_30092014	50370	50370	1.000000	860.985070
T1056B_07032007_D1_D2	87667	87667	1.000000	20613.165695
T1056B_26072005_D1_D2	69301	69301	1.000000	3454.505693
T1056B_30092014_Q2_Q3	56342	56342	1.000000	1208.077314
T1060A_1072005_D1_D2	72063	72063	1.000000	18170.388771
T1060A_14022007_D1_D2	85812	85812	1.000000	8768.020393
T1060A_16042014_Q2_Q3	83915	83915	1.000000	10724.434523
T1060B_1072005_D1_D2	48776	48776	1.000000	2247.350193
T1060B_14022007_D1_D2	85020	85020	1.000000	5902.918760
T1060B_16042014_Q2_Q3	77614	77614	1.000000	5742.060646
T1062A_01062006_D1_D2	74798	74798	1.000000	2253.761183
T1062A_26092005_D1_D2	12942	12942	1.000000	976.726317
T1062A_30092014_Q2_Q3	69576	69576	1.000000	2867.366649
T1062B_01062006_D1_D2	78884	78884	1.000000	4964.322410
T1062B_26092005_D1_D2	3886	3886	1.000000	281.439784
T1062B_30092014_Q2_Q3	65861	65861	1.000000	3761.747240
T1066A_1112005_D1_D2	53757	53757	1.000000	2563.043511
T1066A_2032007_D1_D2	80247	80247	1.000000	2700.544357
T1066A_6072015_Q2_Q3	52051	52051	1.000000	906.408561
T1066B_1112005_D1_D2	51974	51974	1.000000	1670.731000
T1066B_2032007_D1_D2	84719	84719	1.000000	7586.607491
T1066B_6072015_Q2_Q3	71005	71005	1.000000	2845.405563
T1067A_15112006_D1_D2	86653	86653	1.000000	9657.469193
T1067A_6072015_Q2_Q3	74575	74575	1.000000	1949.733838
T1067A_8122005_D1_D2	66142	66142	1.000000	1987.999078
T1067B_15112006_D1_D2	84768	84768	1.000000	6781.972136
T1067B_6072015_Q2_Q3	61678	61678	1.000000	1180.331220
T1067B_8122005_D1_D2	67180	67180	1.000000	2893.776585
T1069A_1072015_Q2_Q3	60729	60729	1.000000	1434.245583
T1069A_12082005_D1_D2	82595	82595	1.000000	6932.587893
T1069A_29112006_D1_D2	88587	88587	1.000000	19039.756657
T1069B_1072015_Q2_Q3	68974	68974	1.000000	2970.167976
T1069B_12082005_D1_D2	82222	82222	1.000000	5761.181679
T1069B_29112006_D1_D2	87646	87646	1.000000	13400.671006
T1071A_01102014_Q2_Q3	68982	68982	1.000000	3720.435316
T1071A_04082005_D1	59462	59462	1.000000	3244.436716
T1071A_19102006_D1_D2	72039	72039	1.000000	1568.647191
T1071B_01102014_Q2_Q3	69977	69977	1.000000	3406.463052
T1071B_04082005_D1	58696	58696	1.000000	7051.227920
T1071B_19102006_D1_D2	77797	77797	1.000000	2541.754991
T1074A_15042014_Q2_Q3	80182	80182	1.000000	7762.434861
T1074A_31072005_D1_D2	72938	72938	1.000000	9193.887644
T1074B_15042014_Q2_Q3	78444	78444	1.000000	4443.563383
T1074B_31072005_D1_D2	76226	76226	1.000000	45325.077979
T1086A_28022006_D1_D2	48081	48081	1.000000	797.063268
T1086A_7112006_D1_D2	85764	85764	1.000000	16529.784700
T1086B_7072015_Q2_Q3	66176	66176	1.000000	1837.494726
T1086B_7112006_D1_D2	86991	86991	1.000000	19080.356186
T1087A_03102014_Q2_Q3	21297	21297	1.000000	1094.469174
T1087A_06112006_D1_D2	87190	87190	1.000000	9571.064124
T1087B_03102014_Q2_Q3	14403	14403	1.000000	915.750330
T1087B_06112006_D1_D2	86535	86535	1.000000	9916.074536
T1087B_17082005_D1	79618	79618	1.000000	4457.892173
T1104A_15022006_D1_D2	56150	56150	1.000000	788.191309
T1104A_6112006_D1_D2	87939	87939	1.000000	37547.246137
T1104B_15022006_D1_D2	42947	42947	1.000000	755.178732
T1104B_6112006_D1_D2	83848	83848	1.000000	6723.361010
T1110A_20012016_Q2_Q3	70102	70102	1.000000	2337.623563
T1110A_21092006_D1_D2	25070	25070	1.000000	368.286358
T1110B_20012016_Q2_Q3	57819	57819	1.000000	2358.679534
T1110B_21092006_D1_D2	66621	66621	1.000000	769.707059
T1117A_14042014_Q2_Q3	83876	83876	1.000000	28018.132922
T1117A_16102006_D1_D2	86762	86762	1.000000	10280.910721
T1117A_24112005_D1_D2	62551	62551	1.000000	2015.157024
T1117B_14042014_Q2_Q3	75525	75525	1.000000	9898.655319
T1117B_16102006_D1_D2	85074	85074	1.000000	8997.855996
T1121A_21092006_D1_D2	84887	84887	1.000000	13350.118864
T1121A_3072015_Q2_Q3	81858	81858	1.000000	8305.921278
T1121A_9032006_D1_D2	76747	76747	1.000000	4763.609796
T1121B_21092006_D1_D2	76539	76539	1.000000	2656.875214
T1121B_3072015_Q2_Q3	71994	71994	1.000000	2098.451954
T1121B_9032006_D1_D2	70140	70140	1.000000	2398.373724
T1122A_17042015_Q2_Q3	72212	72212	1.000000	2328.027073
T1122A_25092006_D1_D2	71929	71929	1.000000	2142.767785
T1122A_28122005_D1_D2	19332	19332	1.000000	811.702100
T1122B_17042015_Q2_Q3	64201	64201	1.000000	1103.018816
T1122B_25092006_D1_D2	48163	48163	1.000000	523.166206
T1122B_28122005_D1_D2	42114	42114	1.000000	1002.159994
T1123A_21112005_D1_D2	60014	60014	1.000000	3152.433382
T1123A_8042015_Q2_Q3	61622	61622	1.000000	1108.838921
T1123B_21112005_D1_D2	55248	55248	1.000000	3181.708297
T1123B_8042015_Q2_Q3	61129	61129	1.000000	2309.593990
T1124A_22112005_D1_D2	73914	73914	1.000000	3227.975769
T1124A_9052007_D1_D2	85654	85654	1.000000	6746.623042
T1124B_20012016_Q2_Q3	41193	41193	1.000000	1191.633797
T1124B_22112005_D1_D2	47656	47656	1.000000	3590.948842
T1124B_9052007_D1_D2	84220	84220	1.000000	9862.367799
T1125A_19012016_Q2_Q3	63458	63458	1.000000	2759.081235
T1125A_20102006_D1_D2	85182	85182	1.000000	7458.170916
T1125A_28042006_D1_D2	51931	51931	1.000000	982.174250
T1125B_19012016_Q2_Q3	40886	40886	1.000000	1233.965832
T1125B_20102006_D1_D2	83268	83268	1.000000	3780.139645
T1125B_28042006_D1_D2	66149	66149	1.000000	2281.025654
T1135A_22122005_D1_D2	15579	15579	1.000000	1124.988061
T1135A_7072015_Q2_Q3	69893	69893	1.000000	2184.509092
T1135A_9052007_D1_D2	88414	88414	1.000000	48398.526353
T1135B_22122005_D1_D2	67223	67223	1.000000	8023.785074
T1135B_7072015_Q2_Q3	67271	67271	1.000000	2073.248978
T1135B_9052007_D1_D2	87783	87783	1.000000	18168.377704
T1136A_02032007_D1_D2	87251	87251	1.000000	19744.712909
T1136B_02032007_D1_D2	86583	86583	1.000000	28221.624822
T1136B_02102014_Q2_Q3	61326	61326	1.000000	1998.793856
T1149A_10012006_D1_D2	74801	74801	1.000000	2892.268192
T1149A_28092015_Q2_Q3	76405	76405	1.000000	2238.292939
T1149B_10012006_D1_D2	85841	85841	1.000000	7246.918850
T1149B_28092015_Q2_Q3	44909	44909	1.000000	711.001247
T1165A_21122006_D1_D2	85977	85977	1.000000	10555.705247
T1165A_7022006_D1_D2	31528	31528	1.000000	1655.470090
T1165B_2072015_Q2_Q3	79103	79103	1.000000	5097.583227
T1165B_21122006_D1_D2	84315	84315	1.000000	9342.099057
T1165B_7022006_D1_D2	79592	79592	1.000000	6665.234772
T1166A_2022006_D1_D2	35460	35460	1.000000	738.523660
T1166A_29062007_D1_D2	84432	84432	1.000000	4027.812867
T1166A_6072015_Q2_Q3	83037	83037	1.000000	6573.703337
T1166B_2022006_D1_D2	33551	33551	1.000000	1143.940508
T1166B_29062007_D1_D2	77571	77571	1.000000	1992.751260
T1166B_6072015_Q2_Q3	78328	78328	1.000000	3983.486837
T1179A_2072015_Q2_Q3	65756	65756	1.000000	1959.361169
T1179A_9082006_D1_D2	72546	72546	1.000000	5710.181499
T1179B_2072015_Q2_Q3	50789	50789	1.000000	1025.662880
T1179B_9082006_D1_D2	58157	58157	1.000000	1021.449181
T1183A_11032008_D1_D2	87484	87484	1.000000	19256.075591
T1183A_15032006_D1_D2	13546	13546	1.000000	1320.761701
T1183A_2072015_Q2_Q3	71660	71660	1.000000	2370.415001
T1183B_11032008_D1_D2	87309	87309	1.000000	17313.173270
T1183B_15032006_D1_D2	50906	50906	1.000000	3495.338997
T1183B_2072015_Q2_Q3	70609	70609	1.000000	2144.207920
T1185A_02102014_Q2_Q3	76331	76331	1.000000	1859.704943
T1185A_22102007_D1_D2	87011	87011	1.000000	14121.547184
T1185B_02102014_Q2_Q3	62598	62598	1.000000	1484.444391
T1185B_22102007_D1_D2	84512	84512	1.000000	19180.596412
T1185B_27032006_D1_D2	41407	41407	1.000000	1577.009684
T1190A_01022008_D1_D2	81589	81589	1.000000	3721.281251
T1190A_01102014_Q2_Q3	59639	59639	1.000000	1554.109392
T1190A_30032006_D1	67812	67812	1.000000	3644.134475
T1190B_01022008_D1_D2	45979	45979	1.000000	487.695470
T1190B_01102014_Q2_Q3	73640	73640	1.000000	3100.012534
T1190B_30032006_D1_D2	61338	61338	1.000000	2745.962438
T1192A_7042006_D1_D2	51241	51241	1.000000	725.020569
